"Country","Respondent","UrbanRural","Age","EconomicSituation","LivingConditions","Interest","Religion","TaxMorale","TrustPresident","TrustParliament","TrustCourts","CorruptionPresident","CorruptionParliament","CorruptionOfficials","CorruptionCouncilors","CorruptionTax","Gender","AvoidHowOften","TrustTax","SelfEmployedTax","AvoidReason","EconomicPolicies","LocalGvtTaxes","Enforce1","Enforce2","CorruptionOfficialsLocal","CorruptionOfficialsNational","Year"
1,"BEN0530",1,41,2,2,2,2,4,3,3,3,1,1,NA,1,3,2,NA,NA,NA,NA,4,3,2,4,1,1,2005
1,"BEN0538",2,18,2,3,1,0,5,3,2,2,9,9,NA,0,2,2,NA,NA,NA,NA,4,9,1,4,9,9,2005
1,"BEN0539",2,35,4,4,2,2,4,2,2,9,0,0,NA,0,3,2,NA,NA,NA,NA,4,3,2,4,0,0,2005
1,"BEN0546",2,46,2,2,2,0,4,2,9,3,1,1,NA,1,3,2,NA,NA,NA,NA,4,3,3,4,1,1,2005
1,"BEN0563",2,25,1,2,2,2,4,1,1,0,3,3,NA,3,3,1,NA,NA,NA,NA,4,3,1,4,3,3,2005
1,"BEN0567",2,50,3,2,2,2,4,3,2,9,9,9,NA,9,2,2,NA,NA,NA,NA,4,2,4,4,9,9,2005
1,"BEN0574",2,32,2,2,3,3,3,3,1,3,1,1,NA,1,0,1,NA,NA,NA,NA,4,9,1,4,1,0,2005
1,"BEN0577",1,28,2,2,1,2,4,3,2,2,9,9,NA,0,3,2,NA,NA,NA,NA,3,3,1,4,9,0,2005
1,"BEN0581",1,35,1,1,2,1,4,2,2,2,3,1,NA,1,3,1,NA,NA,NA,NA,3,3,1,4,1,1,2005
1,"BEN0586",1,32,2,2,1,2,4,3,2,2,1,1,NA,0,3,2,NA,NA,NA,NA,4,3,2,4,1,1,2005
1,"BEN0590",1,42,2,2,2,2,4,3,2,2,1,2,NA,0,3,1,NA,NA,NA,NA,4,3,1,4,1,1,2005
1,"BEN0742",1,35,2,1,2,1,3,1,1,2,2,2,NA,2,3,2,NA,NA,NA,NA,3,1,3,3,2,3,2005
1,"BEN0750",2,50,2,2,2,2,4,3,2,2,1,1,NA,1,3,1,NA,NA,NA,NA,4,9,2,2,9,9,2005
1,"BEN0758",2,19,1,1,1,0,5,1,1,1,2,2,NA,2,3,2,NA,NA,NA,NA,3,2,2,2,2,2,2005
1,"BEN0759",1,19,2,2,2,1,2,3,2,1,2,1,NA,1,3,2,NA,NA,NA,NA,4,2,2,2,1,1,2005
1,"BEN0760",1,22,2,1,1,1,3,1,1,9,2,2,NA,2,3,1,NA,NA,NA,NA,3,3,2,3,2,2,2005
1,"BEN0797",2,20,2,1,2,0,4,2,0,0,2,2,NA,2,2,2,NA,NA,NA,NA,4,2,2,2,2,2,2005
1,"BEN0799",2,20,2,2,2,1,3,1,1,2,3,3,NA,3,3,1,NA,NA,NA,NA,3,2,1,4,3,3,2005
